"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
10331;"Kroger";"Retail";"Scope 2 (location-based)";80;2664031;NA;NA;4035724.16;NA;40;2020;"Underway";94.5;"Unknown";3228579.328;1657027.282;TRUE;TRUE;TRUE;TRUE
10338;"KT Corporation";"Services";"Scope 1+2 (location-based)";100;1276872;NA;1276872;1111087;NA;35;2030;"Underway";37;"Unknown";1111087;1111517.076;TRUE;TRUE;TRUE;TRUE
10338;"KT Corporation";"Services";"Scope 1+2 (location-based)";100;1276872;NA;1276872;1111087;NA;50;2040;"Underway";26;"Unknown";1111087;1110878.64;TRUE;TRUE;TRUE;TRUE
10347;"Kubota Corporation";"Manufacturing";"Scope 1 +2 (market-based)";69.37;534000;NA;NA;644706;NA;30;2030;"Underway";54.24;"Unknown";447232.5522;447107.52;TRUE;TRUE;TRUE;TRUE
10350;"Kumba Iron Ore";"Mineral extraction";"Scope 1+2 (location-based)";100;950000;NA;945966;1000000;NA;10.7;2020;"Underway";0;"Unknown";1000000;950000;TRUE;TRUE;TRUE;TRUE
10389;"L'Oréal";"Manufacturing";"Scope 1+2 (market-based) +3 (upstream & downstream)";100;9880648;120450;8039244;9743556;101838;25;2030;"Underway";1;"Unknown";101838;9855946.38;TRUE;TRUE;TRUE;TRUE
10389;"L'Oréal";"Manufacturing";"Scope 1 +2 (market-based)";100;120450;NA;120450;101838;NA;100;2025;"Underway";18;"Unknown";101838;98769;TRUE;TRUE;TRUE;TRUE
10408;"Laboratory Corporation of America Holdings";"Biotech, health care & pharma";"Scope 2 (market-based)";100;160765;NA;98906;178923.92;NA;15;2020;"Underway";84;"Unknown";178923.92;140508.61;TRUE;TRUE;TRUE;TRUE
10480;"LANXESS AG";"Manufacturing";"Scope 1 +2 (market-based)";100;4641000;NA;4718000;5093000;NA;9;2025;"Underway";0;"Unknown";5093000;4641000;TRUE;TRUE;TRUE;TRUE
10480;"LANXESS AG";"Manufacturing";"Scope 1 +2 (market-based)";100;4641000;NA;4718000;5093000;NA;35;2035;"Underway";0;"Unknown";5093000;4641000;TRUE;TRUE;TRUE;TRUE
