"company_name";"Country/Region";"Scope(s) (or Scope 3 category)";"count_TY"
"Barclays";"Global";"Other, please specify: Scope 2 (market-based) Waste";1
"Barclays";"Global";"Scope 1+2 (market-based)";1
"Barilla Holding SpA";"Global";"Scope 1+2 (market-based)";1
"Barratt Developments plc";"Global";"Scope 1+2 (market-based)";2
"Barrick Gold Corporation";"Global";"Scope 1+2 (market-based)";1
"Barry Callebaut AG";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"BART DRUK";"Global";"Scope 1";1
"BASF SE";"Global";"Scope 1+2 (market-based)";1
"Bausch Health Cos. Inc.";"Global";"Scope 2 (market-based)";1
"Baxter International Inc.";"Global";"Scope 1+2 (market-based)";1
"Bayer AG";"Global";"Scope 1+2 (market-based)";1
"Bayer AG";"Global";"Scope 3 (upstream)";1
"BayWa AG Munich";"Global";"Scope 1+2 (market-based)";1
"BBA Aviation";"Global";"Scope 1+2 (location-based)";3
"BBM LOGISTICA S.A.";"Global";"Scope 1";1
"BBVA";"Global";"Scope 1+2 (market-based)";2
"BEAR ELECTRIC APPLIANCE CO.,LTD";"Global";"Scope 1";1
"BEAR ELECTRIC APPLIANCE CO.,LTD";"Global";"Scope 2 (location-based)";1
"BEBIDAS PURIFICADAS S RL CV";"Global";"Scope 1";1
"BECK GROUP - HC BECK";"Global";"Scope 1+2 (market-based)";1
"Befimmo SA";"Global";"Scope 1";1
"Befimmo SA";"Global";"Scope 2 (location-based)";1
"Befimmo SA";"Global";"Scope 2 (market-based)";1
"Befimmo SA";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"Beiersdorf AG";"Global";"Scope 1+2 (market-based)";1
"Beiersdorf AG";"Global";"Scope 3 (upstream & downstream)";1
"BEIJING INDSERVE";"Global";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";1
"Beijing Wingain Electronic Equipment Co Ltd";"Global";"Scope 2 (location-based)";1
"Bel Fuse Inc.";"Global";"Scope 1+2 (location-based)";1
"Bendigo and Adelaide Bank";"Global";"Scope 1+2 (location-based) +3 (upstream & downstream)";1
"Benesse Holdings, Inc.";"Global";"Scope 1+2 (market-based)";3
"Benesse Holdings, Inc.";"Global";"Scope 3 (upstream & downstream)";3
"BerBrand Srl";"Global";"Scope 2 (location-based)";1
"BerBrand Srl";"Global";"Scope 3: Business travel";1
"Berkeley Group";"Global";"Scope 1+2 (market-based)";1
"Berner Kantonalbank AG BEKB";"Global";"Scope 1+2 (market-based)";2
"Berner Kantonalbank AG BEKB";"Global";"Scope 1+2 (market-based) +3 (upstream)";1
"Bernhardt Design a Division of Bernhardt Furniture Company";"Global";"Scope 1+2 (location-based)";1
"Bertelsmann";"Global";"Scope 1+2 (market-based)";2
"Bertelsmann";"Global";"Scope 1+2 (market-based) +3 (upstream & downstream)";1
"Best Buy Co., Inc.";"Global";"Scope 1+2 (market-based)";3
"Best Buy Co., Inc.";"Global";"Scope 3: Use of sold products";1
"BEUKAY";"Global";"Scope 1+2 (location-based)";1
"BEUKAY";"Global";"Scope 3: Business travel";1
"BHP";"Global";"Scope 1+2 (market-based)";3
"Big Yellow Group";"Global";"Scope 1+2 (location-based)";2
"Big Yellow Group";"Global";NA;1
