"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"Axiata Group Berhad";"SX";2020;2013;5;0;0;NA
"Axilone Group";"S2M";2020;2017;3;0;0;NA
"Ayala Land Inc";"S12M";2022;2016;1;1;0;0
"Azbil Corporation";"S12L";2021;2006;17;0.999950191761718;0.999950191761718;0.0000498107192663522
"Azbil Corporation";"S12M";2030;2013;17;0.999803883114337;0.999803883114337;0.000196155355040473
"Azbil Corporation";"S12M";2050;2019;17;0.999803883114337;0.999803883114337;0.000196155355040473
"Azbil Corporation";"S3";2030;2017;17;0;0;NA
"Bain & Company";"S12L";2030;2016;39;0.923838905587887;0.923838905587887;0.0824397997870068
"Bain & Company";"S12M";2040;2011;39;0.965976169462493;0.965976169462493;0.0352222255715053
"Baker Hughes Company";"S12M";2020;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Baker Hughes Company";"S12M";2030;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Baker Hughes Company";"S12M";2050;2012;6;0.862147739455744;0.862147739455744;0.159894011473346
"Ball Corporation";"S12M";2030;2017;64;2.00000278609737;0.00000278609737369706;0.00000139304674628971
"Ball Corporation";"S3";2030;2017;64;0;0;NA
"Banco BPM SpA";"S1";2023;2019;3;0;0;NA
"Banco BPM SpA";"S2M";2023;2019;1;0;0;NA
"Banco BPM SpA";"S3";2023;2019;1;0;0;NA
"Banco Comercial Português SA";"S12X3";2020;2019;3;1;0;0
"Banco Davivienda SA";"S1";2022;2014;3;0;0;NA
"Banco Davivienda SA";"S2L";2022;2014;3;0;0;NA
"Banco Davivienda SA";"S3";2022;2016;3;0;0;NA
"Banco de Galicia y Buenos Aires S.A.U";"S2L";2020;2017;1;1;0;0
"Banco Santander";"S12L3";2020;2019;10;0.999999081660261;0.999999081660261;0.000000918340582245492
"Banco Santander";"S12L3";2021;2018;10;0.999999081660261;0.999999081660261;0.000000918340582245492
"Banco Santander Brasil";"S12M";2025;2018;1;0;0;NA
"Banco Santander Brasil";"S2L";2025;2018;1;0;0;NA
"BanColombia SA";"S12M";2030;2017;3;0;0;NA
"BanColombia SA";"S12M";2050;2010;3;0;0;NA
"BanColombia SA";"S3";2020;2010;6;0;0;NA
"BanColombia SA";"S3";2020;2014;3;0;0;NA
"BanColombia SA";"S3";2020;2015;6;0;0;NA
"BanColombia SA";"S3";2020;2016;6;0;0;NA
"BanColombia SA";"S3";2020;2019;6;0;0;NA
"BANDAI NAMCO Holdings Inc.";"S12M";2021;2018;9;0;0;NA
"Bank of America";"S12L";2020;2010;18;1;1;0.000000000000000222044604925031
"Bank of America";"S12M";2020;2010;18;0.999997790333593;0.999997790333593;0.00000220967128994332
"Bank of America";"S12M";2040;2010;18;0.999997790333593;0.999997790333593;0.00000220967128994332
"Bank of Montreal";"S12L3";2021;2016;2;1;0.000000000000000888178419700125;0.000000000000000888178419700125
"Bank of Nova Scotia (Scotiabank)";"S12L";2021;2016;41;0.662081416517475;0.662081416517475;0.510388262005547
"Bank of Nova Scotia (Scotiabank)";"S12L";2025;2016;41;0.662081416517475;0.662081416517475;0.510388262005547
"Bankia";"S12M";2020;2018;1;0;0;NA
"Bankia";"S12M";2023;2018;1;0;0;NA
"Bankia";"S12M";2033;2018;1;0;0;NA
"Bankinter";"S12M";2020;2012;2;1;0;0
"Bankinter";"S12M";2020;2018;2;1;0;0
"Bankinter";"S3";2020;2012;2;0;0;NA
"Banque Cantonale Vaudoise";"S12M3";2025;2010;1;0;0;NA
"Barclays";"S12M";2025;2018;5;1.00000256635306;0.00000256635305828645;0.0000025663464721104
"Barclays";"S2M";2021;2018;5;1;0.000000000000000222044604925031;0.000000000000000222044604925031
"Barilla Holding SpA";"S12M";2030;2017;9;1.00000318584973;0.00000318584972980318;0.00000318583958014429
"Barratt Developments plc";"S12M";2025;2018;1;1;0;0
"Barratt Developments plc";"S12M";2040;2018;1;1;0;0
"Barrick Gold Corporation";"S12M";2030;2018;12;0.496915511846222;0.496915511846222;1
"Barry Callebaut AG";"S12M3";2025;2018;26;0.999993177763603;0.999993177763603;0.00000682228294013321
"BART DRUK";"S1";2020;2018;1;1;0;0
"BASF SE";"S12M";2030;2018;12;1;1;0.000000000000000222044604925031
"Bausch Health Cos. Inc.";"S2M";2025;2010;6;0;0;NA
"Baxter International Inc.";"S12M";2020;2015;41;0.999999999999999;0.999999999999999;0.00000000000000111022302462516
"Bayer AG";"S12M";2029;2019;12;0.934501347708895;0.934501347708895;0.0700894144793771
"Bayer AG";"S3";2029;2019;12;0;0;NA
"BayWa AG Munich";"S12M";2025;2017;36;0.999996757752214;0.999996757752214;0.00000324225829806402
"BBA Aviation";"S12L";2025;2018;18;1.00000993257399;0.00000993257399195535;0.00000993247533687125
"BBA Aviation";"S12L";2030;2018;18;1.00000993257399;0.00000993257399195535;0.00000993247533687125
"BBA Aviation";"S12L";2050;2018;18;1.00000993257399;0.00000993257399195535;0.00000993247533687125
"BBVA";"S12M";2025;2015;24;1.99992119468852;0.999921194688522;0.0000394042083693424
"BBVA";"S12M";2050;2015;24;1.99992119468852;0.999921194688522;0.0000394042083693424
"BECK GROUP - HC BECK";"S12M";2030;2010;1;1;0;0
"Befimmo SA";"S1";2030;2016;2;1;0;0
"Befimmo SA";"S2L";2030;2016;2;1.00002596323606;0.0000259632360573026;0.0000259625619851711
"Befimmo SA";"S2M";2021;2016;2;1;0;0
"Befimmo SA";"S3";2030;2016;2;0;0;NA
"Beiersdorf AG";"S12M";2025;2018;6;0.999977100984658;0.999977100984658;0.0000228995397184573
"Beiersdorf AG";"S3";2025;2018;6;0;0;NA
